Number	labels	theta	radius	X	Y	Z	sph_theta	sph_phi	sph_radius	type
1	Fp1	-18	0.5	0.951	0.309	0	18	0	1	EEG
2	Fz	0	0.25	0.707	0	0.707	0	45	1	EEG
3	F3	-39	0.333	0.673	0.545	0.5	39	30	1	EEG
4	F7	-54	0.5	0.588	0.809	0	54	0	1	EEG
5	FT9	-72	0.628	0.284	0.875	-0.391	72	-23	1	EEG
6	FC5	-68	0.383	0.35	0.866	0.358	68	21	1	EEG
7	FC1	-44	0.172	0.37	0.358	0.857	44	59	1	EEG
8	C3	-90	0.25	4.33E-17	0.707	0.707	90	45	1	EEG
9	T7	-90	0.5	6.12E-17	1	0	90	0	1	EEG
10	TP9	-108	0.628	-0.284	0.875	-0.391	108	-23	1	EEG
11	CP5	-111	0.383	-0.335	0.872	0.358	111	21	1	EEG
12	CP1	-136	0.172	-0.37	0.358	0.857	136	59	1	EEG
13	Pz	180	0.25	-0.707	-8.66E-17	0.707	-180	45	1	EEG
14	P3	-141	0.333	-0.673	0.545	0.5	141	30	1	EEG
15	P7	-126	0.5	-0.588	0.809	0	126	0	1	EEG
16	O1	-162	0.5	-0.951	0.309	0	162	0	1	EEG
17	Oz	180	0.5	-1	-1.22E-16	0	-180	0	1	EEG
18	O2	162	0.5	-0.951	-0.309	0	-162	0	1	EEG
19	P4	141	0.333	-0.673	-0.545	0.5	-141	30	1	EEG
20	P8	126	0.5	-0.588	-0.809	0	-126	0	1	EEG
21	TP10	108	0.628	-0.284	-0.875	-0.391	-108	-23	1	EEG
22	CP6	111	0.383	-0.335	-0.872	0.358	-111	21	1	EEG
23	CP2	136	0.172	-0.37	-0.358	0.857	-136	59	1	EEG
24	Cz	90	0	3.75E-33	-6.12E-17	1	-90	90	1	EEG
25	C4	90	0.25	4.33E-17	-0.707	0.707	-90	45	1	EEG
26	T8	90	0.5	6.12E-17	-1	0	-90	0	1	EEG
27	FT10	72	0.628	0.284	-0.875	-0.391	-72	-23	1	EEG
28	FC6	69	0.383	0.335	-0.872	0.358	-69	21	1	EEG
29	FC2	44	0.172	0.37	-0.358	0.857	-44	59	1	EEG
30	F4	39	0.333	0.673	-0.545	0.5	-39	30	1	EEG
31	F8	54	0.5	0.588	-0.809	0	-54	0	1	EEG
32	Fp2	18	0.5	0.951	-0.309	0	-18	0	1	EEG
